,total_rentals,casual_count,registered_count,temp,rhum,wspd,hour_of_day,day_of_week,is_weekend
total_rentals,1.0,0.7333252100336186,0.9455253605009362,0.45132665806663136,-0.31375028796236487,0.09625696153612465,0.37103598519176295,-0.023329080474584655,-0.035487303742712646
casual_count,0.7333252100336186,1.0,0.4720443452461523,0.5263499045221799,-0.31920889002606195,0.06913105310622959,0.324397096708509,0.21340287121685145,0.2655266731953153
registered_count,0.9455253605009362,0.4720443452461523,1.0,0.33318596158907665,-0.25398142315014943,0.09171086892986753,0.32577755791986784,-0.13243449451573774,-0.17315827871094722
temp,0.45132665806663136,0.5263499045221799,0.33318596158907665,1.0,0.10418344462133934,-0.060134743552447543,0.11281510298005012,-0.044401218754140784,-0.04090110148126119
rhum,-0.31375028796236487,-0.31920889002606195,-0.25398142315014943,0.10418344462133934,1.0,-0.274136080562775,-0.21008422623022507,-0.037684114488186794,0.0011472480456196938
wspd,0.09625696153612465,0.06913105310622959,0.09171086892986753,-0.060134743552447543,-0.274136080562775,1.0,0.08234916389842643,-0.015485456523716561,-0.019547781162753373
hour_of_day,0.37103598519176295,0.324397096708509,0.32577755791986784,0.11281510298005012,-0.21008422623022507,0.08234916389842643,1.0,4.160177495122891e-17,4.346668601049416e-17
day_of_week,-0.023329080474584655,0.21340287121685145,-0.13243449451573774,-0.044401218754140784,-0.037684114488186794,-0.015485456523716561,4.160177495122891e-17,1.0,0.7919144241609657
is_weekend,-0.035487303742712646,0.2655266731953153,-0.17315827871094722,-0.04090110148126119,0.0011472480456196938,-0.019547781162753373,4.346668601049416e-17,0.7919144241609657,1.0
