hour_of_day,total_rentals
0,77.94246575342466
1,45.14794520547945
2,28.528767123287672
3,13.808219178082192
4,12.58904109589041
5,64.24109589041096
6,222.83561643835617
7,555.7178082191781
8,827.2630136986302
9,495.28767123287673
10,415.5753424657534
11,498.013698630137
12,593.7616438356164
13,594.0602739726028
14,585.227397260274
15,653.945205479452
16,818.3561643835617
17,1146.7150684931507
18,918.8739726027397
19,621.1616438356165
20,427.4219178082192
21,314.91506849315067
22,227.55616438356165
23,136.33424657534246
