,count,mean,std,min,25%,50%,75%,max
temp,8760.0,15.802130898021307,9.490246693068258,-9.444444444444445,8.333333333333334,16.666666666666668,23.88888888888889,36.111111111111114
rhum,8760.0,65.18521689497717,19.839859318130348,13.0,49.0,66.0,82.0,100.0
wspd,8760.0,14.058025815068493,8.09515402081014,0.0,9.65604,12.87472,17.70274,54.71756
weather_quality_flag,8760.0,0.0014840182648401827,0.03849655998936298,0.0,0.0,0.0,0.0,1.0
casual_count,8760.0,112.07739726027397,150.61548783880676,0.0,10.0,47.0,162.0,1037.0
registered_count,8760.0,316.8925799086758,314.54661063375346,0.0,63.0,249.0,452.0,1639.0
is_imputed_rides,8760.0,0.002625570776255708,0.05117593305677752,0.0,0.0,0.0,0.0,1.0
total_rentals,8760.0,428.96997716894975,407.8619316675349,0.0,79.0,328.0,644.0,1988.0
hour_of_day,8760.0,11.5,6.922581688234342,0.0,5.75,11.5,17.25,23.0
day_of_week,8760.0,3.0082191780821916,2.0035192299105375,0.0,1.0,3.0,5.0,6.0
is_weekend,8760.0,0.2876712328767123,0.4527028712262302,0.0,0.0,0.0,1.0,1.0
month,8760.0,6.526027397260274,3.4480481340692433,1.0,4.0,7.0,10.0,12.0
season_code,8760.0,2.4904109589041097,1.1168306547238787,1.0,1.0,2.0,3.0,4.0
holiday,8760.0,0.0273972602739726,0.16324733567750827,0.0,0.0,0.0,0.0,1.0
workingday,8760.0,0.684931506849315,0.4645696668194158,0.0,0.0,1.0,1.0,1.0
atemp,8760.0,6.447067164116657,13.55003898135963,-37.06350317913006,-2.864423897488268,7.210337984778009,17.30122411721989,38.92719114940921
