is_weekend,hour_of_day,total_rentals,day_type
0,0,54.46153846153846,Weekday
0,1,25.134615384615383,Weekday
0,2,14.284615384615385,Weekday
0,3,6.226923076923077,Weekday
0,4,12.4,Weekday
0,5,82.95769230769231,Weekday
0,6,293.59615384615387,Weekday
0,7,733.7807692307692,Weekday
0,8,1059.4,Weekday
0,9,516.6884615384615,Weekday
0,10,329.99615384615385,Weekday
0,11,394.55384615384617,Weekday
0,12,488.84615384615387,Weekday
0,13,486.9153846153846,Weekday
0,14,473.0346153846154,Weekday
0,15,571.3038461538462,Weekday
0,16,817.4423076923077,Weekday
0,17,1304.6653846153847,Weekday
0,18,1038.7846153846153,Weekday
0,19,669.1923076923077,Weekday
0,20,450.18461538461537,Weekday
0,21,328.64230769230767,Weekday
0,22,232.76538461538462,Weekday
0,23,130.76153846153846,Weekday
1,0,136.0857142857143,Weekend
1,1,94.70476190476191,Weekend
1,2,63.8,Weekend
1,3,32.58095238095238,Weekend
1,4,13.057142857142857,Weekend
1,5,17.895238095238096,Weekend
1,6,47.61904761904762,Weekend
1,7,114.8,Weekend
1,8,252.44761904761904,Weekend
1,9,442.2952380952381,Weekend
1,10,627.4857142857143,Weekend
1,11,754.2,Weekend
1,12,853.552380952381,Weekend
1,13,859.3714285714286,Weekend
1,14,863.0380952380953,Weekend
1,15,858.5809523809523,Weekend
1,16,820.6190476190476,Weekend
1,17,755.6,Weekend
1,18,621.952380952381,Weekend
1,19,502.22857142857146,Weekend
1,20,371.0571428571429,Weekend
1,21,280.9238095238095,Weekend
1,22,214.65714285714284,Weekend
1,23,150.13333333333333,Weekend
